mean_area,is_cancerous
0.32489999999999997,1
0.32080000000000003,1
0.2857,1
0.36160000000000003,1
0.3605,1
0.37839999999999996,1
0.5079,1
0.264,1
0.5143,1
0.32139999999999996,1
0.3117,1
0.2713,1
0.6571,1
0.4035,1
0.6003999999999999,1
0.386,1
0.7169,0
1.347,0
1.479,0
1.261,0
0.8581,0
1.265,0
0.181,1
